"","YEAR","SEASON","TONPT","TONSP","ALL"
"104",2014,4,1.886,437.089,438.975
"105",2015,1,3.2343,1467.409,1470.6433
"106",2015,2,39.12,2385.656,2424.776
"107",2015,3,30.046,1850.391,1880.437
"108",2015,4,0.2548,1173.974,1174.2288
"109",2016,1,85.4846,1266.453,1351.9376
"110",2016,2,36.5173,2230.825,2267.3423
"111",2016,3,38.8331,2214.923,2253.7561
"112",2016,4,0.304,868.474,868.778
"113",2017,1,10.0796,1041.103,1051.1826
"114",2017,2,1.9535,2210.867,2212.8205
"115",2017,3,12.871,1127.622,1140.493
"116",2017,4,1.2066,205.171,206.3776
"117",2018,1,1.4313,234.395,235.8263
"118",2018,2,11.7853,2379.464,2391.2493
"119",2018,3,52.0357,1361.934,1413.9697
"120",2018,4,0.0836,457.684,457.7676
"121",2019,1,0,322.281,322.281
"122",2019,2,0,1620.614,1620.614
"123",2019,3,4,1885.173,1889.173
"124",2019,4,109,872.52,981.52
"125",2020,1,1.6059,1284.888,1286.4939
"126",2020,2,67.2002,2247.32,2314.5202
"127",2020,3,73.5084,2529.799,2603.3074
"128",2020,4,12.23,1100.798,1113.028
"129",2021,1,1.669,642.598,644.267
"130",2021,2,1.2048,3498.864,3500.0688
"131",2021,3,106.14,2688.209,2794.349
"132",2021,4,0.11,622.804,622.914
"133",2022,1,0,509.75,509.75
"134",2022,2,0,1955.18843,1955.18843
